600LP,,600LP1,,600LP2,,550LP,,600SP800N,,600SP800N1,,530SP,,GSBS,,550LP2,,530SP2,,530SP_HI,,
Wavelength (nm),Abs,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
689.9639893,0.02801958472,627.9359131,94.2926712,727.9473267,93.86203766,727.9473267,83.93805695,727.9473267,0.001229890273,727.9473267,-0.002167117549,727.9473267,2.938356638,727.9473267,0.1127132922,727.9473267,0.04654938355,727.9473267,6.778727531,778.0537109,15.14191151,
685.0562744,0.02517253906,627.0541992,94.31434631,726.9501953,93.57445526,726.9501953,84.31092834,726.9501953,0.04386831447,726.9501953,0.01052780543,726.9501953,1.291400075,726.9501953,0.118039161,726.9501953,-0.001554246177,726.9501953,2.347258568,776.9346924,13.33388996,
679.9962769,0.02858993411,626.0252075,94.06137085,725.9527588,93.41474915,725.9527588,84.691185,725.9527588,0.06952263415,725.9527588,0.04029950872,725.9527588,0.6231135726,725.9527588,0.1228419617,725.9527588,0.07736934721,725.9527588,0.9337701797,775.9552002,12.12077236,
674.9282227,0.02584599145,624.9959106,93.945961,724.9549561,93.35636139,724.9549561,85.05535889,724.9549561,-0.0086638676,724.9549561,0.0580268912,724.9549561,0.350373745,724.9549561,0.1568758786,724.9549561,0.001047525206,724.9549561,0.4687374532,774.9753418,11.06977654,
669.9973755,0.02568521909,623.9663696,93.75374603,723.9567871,93.25162506,723.9567871,85.26407623,723.9567871,0.03289432451,723.9567871,0.0269002337,723.9567871,0.2272268534,723.9567871,0.1893968284,723.9567871,0.05886214972,723.9567871,0.2780945301,773.9951172,10.24572086,
665.059021,0.02871353552,622.9365234,93.68787384,722.958313,93.36053467,722.958313,85.36787415,722.958313,0.007422340568,722.958313,0.01470843982,722.958313,0.1605443358,722.958313,0.1792258024,722.958313,-0.01458497159,722.958313,0.2002953738,773.0145264,9.709355354,
659.9677124,0.02485846169,622.0535278,93.57283783,721.9595337,93.49848175,721.9595337,85.47283936,721.9595337,0.01089451928,721.9595337,0.00527902646,721.9595337,0.09724966437,721.9595337,0.2027873397,721.9595337,0.05658921972,721.9595337,0.09207004309,772.0335693,9.31529808,
655.0143433,0.02773191594,621.0231323,93.61623383,720.9603271,93.67993927,720.9603271,85.42754364,720.9603271,0.0217884481,720.9603271,0.03123786673,720.9603271,0.1042740867,720.9603271,0.2011009008,720.9603271,0.04527590051,720.9603271,0.08715391159,771.0522461,8.906701088,
650.0537109,0.02660486102,619.9924316,93.61437225,719.9608765,93.89296722,719.9608765,85.32748413,719.9608765,-0.01400585473,719.9608765,-0.01480528433,719.9608765,0.0804335773,719.9608765,0.2507002652,719.9608765,0.0178384874,719.9608765,0.06251271069,769.9302979,8.785736084,
644.9396362,0.02785681933,618.9614868,93.63215637,718.9609985,94.17582703,718.9609985,85.29577637,718.9609985,0,718.9609985,-0.008711051196,718.9609985,0.04604155943,718.9609985,0.2791312635,718.9609985,0.02508217841,718.9609985,0.07995367795,768.9481812,8.791986465,
