TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	14/09/17
TIME	12:24:02
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-570, Rev. 1.00
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	2000
LASTX	750
NPOINTS	1251
FIRSTY	0.09621
MAXY	2.06985
MINY	0.09621
XYDATA	
1795	0.004207586
1794	0.004287586
1793	0.004457586
1792	0.004547586
1791	0.004647586
1790	0.004657586
1789	0.004777586
1788	0.004697586
1787	0.004797586
1786	0.004777586
1785	0.004867586
1784	0.004827586
1783	0.004917586
1782	0.004887586
1781	0.005107586
1780	0.005247586
1779	0.005437586
1778	0.005417586
1777	0.005417586
1776	0.005337586
1775	0.005477586
1774	0.005647586
1773	0.005787586
1772	0.005847586
1771	0.005927586
1770	0.005987586
1769	0.005997586
1768	0.006027586
1767	0.006097586
1766	0.006277586
1765	0.006407586
1764	0.006457586
1763	0.006507586
1762	0.006497586
1761	0.006697586
1760	0.006827586
1759	0.006847586
1758	0.006777586
1757	0.006767586
1756	0.006707586
1755	0.006867586
1754	0.006957586
1753	0.007067586
1752	0.007167586
1751	0.007087586
1750	0.007097586
1749	0.007177586
1748	0.007387586
1747	0.007577586
1746	0.007587586
1745	0.007647586
1744	0.007717586
1743	0.007857586
1742	0.007877586
1741	0.008057586
1740	0.008217586
1739	0.008477586
1738	0.008557586
1737	0.008717586
1736	0.008947586
1735	0.009227586
1734	0.009547586
1733	0.009867586
1732	0.010077586
1731	0.010267586
1730	0.010437586
1729	0.010637586
1728	0.010887586
1727	0.011037586
1726	0.011147586
1725	0.011227586
1724	0.011447586
1723	0.011587586
1722	0.011727586
1721	0.012067586
1720	0.012387586
1719	0.012577586
1718	0.012827586
1717	0.013057586
1716	0.013347586
1715	0.013587586
1714	0.013907586
1713	0.014207586
1712	0.014397586
1711	0.014597586
1710	0.014767586
1709	0.015097586
1708	0.015397586
1707	0.015707586
1706	0.015997586
1705	0.016227586
1704	0.016567586
1703	0.016927586
1702	0.017327586
1701	0.017707586
1700	0.018057586
1699	0.018547586
1698	0.019027586
1697	0.019537586
1696	0.019877586
1695	0.020207586
1694	0.020627586
1693	0.021107586
1692	0.021737586
1691	0.022337586
1690	0.022887586
1689	0.023357586
1688	0.023777586
1687	0.024367586
1686	0.024967586
1685	0.025517586
1684	0.026107586
1683	0.026827586
1682	0.027627586
1681	0.028467586
1680	0.029187586
1679	0.030127586
1678	0.030957586
1677	0.031857586
1676	0.032567586
1675	0.033457586
1674	0.034347586
1673	0.035327586
1672	0.036287586
1671	0.037307586
1670	0.038157586
